lat_round,lon_round,count
41.745,-87.648,1
41.745,-87.645,1
41.745,-87.629,3
41.745,-87.621,1
41.745,-87.615,1
41.745,-87.606,3
41.745,-87.605,3
41.745,-87.604,3
41.745,-87.603,4
41.745,-87.601,2
41.745,-87.6,3
41.745,-87.561,1
41.745,-87.556,1
41.745,-87.552,1
41.745,-87.55,1
41.746,-87.702,2
41.746,-87.691,2
41.746,-87.683,1
41.746,-87.667,1
41.746,-87.666,1
41.746,-87.665,1
41.746,-87.663,4
41.746,-87.662,2
41.746,-87.654,1
41.746,-87.644,3
41.746,-87.605,1
41.746,-87.604,3
41.746,-87.603,1
41.746,-87.602,1
41.746,-87.586,1
41.746,-87.575,1
41.746,-87.574,1
41.746,-87.571,1
41.746,-87.569,1
41.746,-87.562,1
41.746,-87.561,1
41.746,-87.554,1
41.746,-87.55,1
41.746,-87.548,1
41.747,-87.741,1
41.747,-87.695,1
41.747,-87.665,2
41.747,-87.659,1
41.747,-87.646,1
41.747,-87.644,1
41.747,-87.643,1
41.747,-87.63,1
41.747,-87.626,1
41.747,-87.624,2
41.747,-87.619,1
41.747,-87.616,1
41.747,-87.609,1
41.747,-87.608,1
41.747,-87.606,1
41.747,-87.605,6
41.747,-87.603,4
41.747,-87.601,2
41.747,-87.6,3
41.747,-87.594,1
41.747,-87.585,3
41.747,-87.572,1
41.747,-87.556,1
41.748,-87.741,3
41.748,-87.736,1
41.748,-87.702,1
41.748,-87.695,1
41.748,-87.685,1
41.748,-87.672,1
41.748,-87.666,1
41.748,-87.663,2
41.748,-87.661,1
41.748,-87.65,2
41.748,-87.648,1
41.748,-87.645,2
41.748,-87.644,4
41.748,-87.635,1
41.748,-87.634,1
41.748,-87.632,1
41.748,-87.631,1
41.748,-87.626,2
41.748,-87.605,1
41.748,-87.601,4
41.748,-87.597,1
41.748,-87.576,1
41.748,-87.573,1
41.748,-87.561,1
41.748,-87.558,1
41.748,-87.556,2
41.748,-87.555,3
41.748,-87.554,1
41.748,-87.548,1
41.749,-87.741,1
41.749,-87.737,1
41.749,-87.73,1
